,priority,name,code
0,1,한국화장품,123690
1,2,신성델타테크,065350
2,3,에이프로젠,007460
3,4,파워로직스,047310
4,5,제이준코스메틱,025620
5,6,코리아나,027050
6,7,한국화장품제조,003350
7,8,TPC,048770
8,9,토니모리,214420
9,10,지노믹트리,228760
10,11,지아이이노베이션,358570
11,12,원익피앤이,217820
12,13,진영,285800
13,14,잇츠한불,226320
14,15,인벤티지랩,389470
15,16,노랑풍선,104620
16,17,마녀공장,439090
17,18,태웅,044490
18,19,아난티,025980
19,20,보로노이,310210
20,21,클리노믹스,352770
21,22,에이프릴바이오,397030
22,23,한국공항,005430
23,24,엘앤케이바이오,156100
24,25,나노브릭,286750
25,26,한스바이오메드,042520
26,27,씨앤씨인터내셔널,352480
27,28,스맥,099440
28,29,인지컨트롤스,023800
29,30,유진로봇,056080
30,31,세화피앤씨,252500
31,32,에치에프알,230240
32,33,휴온스,243070
33,34,현대백화점,069960
34,35,명신산업,009900
35,36,동운아나텍,094170
36,37,에스비비테크,389500
37,38,텔레칩스,054450
38,39,알루코,001780
39,40,엠에스오토텍,123040
40,41,제룡전기,033100
41,42,한국콜마,161890
42,43,엘오티베큠,083310
43,44,큐렉소,060280
44,45,엠로,058970
45,46,오픈놀,440320
46,47,신성이엔지,011930
47,48,미래산업,025560
48,49,엠게임,058630
49,50,티앤엘,340570
